course_name,course_code,course_credits
ACCTG,211,3
ECON,102,3
ECON,104,3
ENGL,202D,3
MIS,204,3
MKTG,301,3
ACCTG,310,3
ACCTG,312,3
ACCTG,340,3
ACCTG,371,3
ACCTG,403,3
ACCTG,422,3
ACCTG,450,3
ACCTG,472,3
FIN,301,3
MGMT,301,3
MGMT,471W,3
SCM,301,3
BA,241,3
BA,242,3
BA,243,3
MATH,110,3
MATH,140,3
SCM,200,3
STAT,200,3
ECON,470,3
ECON,473,3
FIN,471,3
MGMT,461,3
MKTG,445,3
ACCTG,410,3
ACCTG,411,3
ACCTG,440,3
ACCTG,495,3
BLAW,444,3
