course_name,course_code,course_credits
CHEM,110,3
CHEM,111,3
CHEM,112,3
CHEM,113,3
ENGL,202C,3
MATH,140,3
MATH,141,3
STAT,250,3
BIOL,110,3
BIOL,220W,3
BIOL,230W,3
BIOL,240W,3
BIOL,322,3
BIOL,427,3
STAT,461,3
STAT,462,3
STAT,464,3
STAT,466,3
CHEM,202,3
CHEM,203,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
PHYS,211,3
PHYS,212,3
PHYS,213,3
PHYS,211,3
PHYS,212,3
PHYS,214,3
PHYS,250,3
PHYS,251,3
BIOL,428,3
BIOL,429,3
BIOL,435,3
BIOL,438,3
BIOL,446,3
BIOL,463,3
GEOG,160,3
GEOG,161,3
GEOG,363,3
BIOL,400,3
BIOL,427,3
CHEM,202,3
CHEM,203,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
PHYS,211,3
PHYS,212,3
PHYS,213,3
PHYS,211,3
PHYS,212,3
PHYS,214,3
PHYS,250,3
PHYS,251,3
BIOL,400,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
BIOL,427,3
MICRB,201,3
MICRB,202,3
PHYS,211,3
PHYS,212,3
PHYS,213,3
PHYS,211,3
PHYS,212,3
PHYS,214,3
PHYS,250,3
PHYS,251,3
BIOL,422,3
BIOL,428,3
BIOL,430,3
BIOL,460,3
BMB,406,3
BIOL,400,3
PHYS,250,3
PHYS,251,3
MICRB,201,3
MICRB,202,3
MICRB,405A,3
MICRB,405B,3
MICRB,405C,3
MICRB,405D,3
MICRB,405E,3
MICRB,405F,3
MICRB,408,3
CHEM,202,3
CHEM,203,3
CHEM,227,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
BIOL,460,3
BIOL,472,3
BMB,402,3
BMB,406,3
MICRB,415,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
BIOL,427,3
BMB,401,3
BMB,402,3
BMB,403,3
BMB,406,3
MICRB,201,3
MICRB,202,3
PHYS,211,3
PHYS,212,3
PHYS,213,3
PHYS,211,3
PHYS,212,3
PHYS,214,3
PHYS,250,3
PHYS,251,3
BIOL,404,3
BIOL,439,3
BIOL,441,3
BMB,465,3
MICRB,410,3
MICRB,412,3
MICRB,415,3
BIOL,400,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
BIOL,421,3
BIOL,427,3
BIOL,472,3
BIOL,473,3
BMB,402,3
BMB,403,3
MICRB,201,3
MICRB,202,3
PHYS,211,3
PHYS,212,3
PHYS,213,3
PHYS,211,3
PHYS,212,3
PHYS,214,3
PHYS,250,3
PHYS,251,3
BMB,401,3
CHEM,472,3
