course_name,course_code,course_credits
CHEM,316,3
CHEM,400,3
CHEM,413,3
CHEM,431W,3
CHEM,440,3
CHEM,441,3
CHEM,443,3
CHEM,457,3
CHEM,472,3
CHEM,110,3
CHEM,111,3
CHEM,112,3
CHEM,113,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
CHEM,227,3
MATH,140,3
MATH,141,3
PHYS,211,3
PHYS,212,3
CHEM,450,3
CHEM,452,3
CHEM,457,3
ENGL,202C,3
MATH,230,3
CHEM,494,3
CHEM,496,3
MATH,250,3
STAT,401,3
CHEM,494,3
CHEM,495,3
CHEM,496,3
BMB,402,3
BMB,403,3
CHEM,450,3
CHEM,452,3
CHEM,457,3
BIOL,110S,3
BIOL,230W,3
ENGL,202C,3
MATH,230,3
CHEM,494,3
CHEM,496,3
MATH,250,3
STAT,401,3
BIOL,322,3
BMB,406,3
BMB,465,3
MICRB,201,3
CHEM,494,3
CHEM,495,3
CHEM,496,3
CHEM,496,3
MGMT,301,3
MKTG,301,3
STAT,401,3
ECON,102,3
ENGL,202D,3
SCM,200,3
CHEM,450,3
CHEM,452,3
MGMT,331,3
MGMT,410,3
MGMT,420,3
SCM,310,3
MKTG,327,3
MKTG,330,3
MKTG,342,3
MKTG,410,3
MKTG,428,3
CMPSC,203,3
MIS,204,3
MIS,336,3
MIS,430,3
MIS,445,3
CHEM,494,3
CHEM,495,3
CHEM,496,3
CHEM,395,3
CHEM,450,3
CHEM,452,3
CHEM,457,3
EDPSY,14,3
CI,295,3
EDTHP,115,3
CI,295,3
ENGL,202C,3
MATH,230,3
PSYCH,100,3
CHEM,494,3
CHEM,496,3
HDFS,129,3
PSYCH,212,3
MATH,250,3
STAT,401,3
