course_name,course_code,course_credits
CAS,100A,3
CMPSC,221,3
ENGL,202C,3
MATH,220,3
CMPSC,121,3
CMPSC,122,3
CMPSC,312,3
CMPSC,335,3
CMPSC,360,3
CMPSC,421,3
CMPSC,431W,3
CMPSC,461,3
CMPSC,465,3
CMPSC,474,3
CMPSC,484,3
CMPSC,485,3
MATH,140,3
MATH,141,3
STAT,301,3
CHEM,110,3
BIOL,110,3
BIOL,220W,3
CHEM,110,3
BIOL,110,3
BIOL,230W,3
CHEM,110,3
BIOL,110,3
BIOL,240W,3
CHEM,110,3
CHEM,111,3
CHEM,112,3
CHEM,113,3
CHEM,210,3
PHYS,211,3
PHYS,212,3
PHYS,213,3
PHYS,211,3
PHYS,212,3
PHYS,214,3
