course_name,course_code,course_credits
ART,168,3
COMM,270,3
DIGIT,100,3
DIGIT,110,3
DIGIT,210,3
DIGIT,400,3
PHOTO,100,3
ART,203,3
ENGL,50,3
ENGL,229,3
GEOG,160,3
GEOG,161,3
ENGL,420,3
GEOG,363,3
HIST/LST,490,3
COMM,242,3
GD,100,3
INART,50,3
INART,236,3
INART,258A,3
MUSIC,8,3
COMM,481,3
MUSIC,458,3
CMPSC,102,3
PSYCH,244,3
PSYCH,253,3
CMPSC,302,3
DIGIT,430,3
MIS,387,3
PSYCH,444,3
CMPSC,203,3
MIS,204,3
DIGIT,410,3
MIS,336,3
MIS,345,3
MIS,430,3
DIGIT,494,3
DIGIT,495,3
CAS,426W,3
ENGL,211W,3
HIST,301,3
PSYCH,301,3
PLSC,480,3
