course_name,course_code,course_credits
ENGL,200,3
ENGL,312,3
ENGL,403,3
ENGL,482W,3
ENGL,443,3
ENGL,444,3
CMLIT,453,3
ENGL,420,3
ENGL,494,3
PHIL,409,3
COMM,150N,3
INART,5,3
INART,110,3
ENGL,50,3
ENGL,477,3
ENGL/WMNST,489,3
ENGL/WMNST,490,3
ENGL,492/WMNST,3
ENGL,100,3
ENGL,215,3
ENGL,417,3
ENGL,495,3
ENGL,418,3
ENGL,419,3
COMM,260W,3
COMM,315,3
ENGL,262,3
ENGL,263,3
ENGL,265,3
ENGL,415,3
ENGL,420,3
ENGL,425,3
ENGL,439,3
ENGL,479,3
COMM,1,3
COMM,2,3
COMM,320,3
COMM,370,3
COMM,406,3
COMM,460,3
COMM,471,3
MKTG,301,3
