course_name,course_code,course_credits
BIOL,220W,3
CHEM,111,3
CHEM,112,3
CHEM,113,3
CHEM,202,3
ENGL,202C,3
ENVSC,400W,3
GEOG,160,3
GEOG,161,3
MATH,141,3
BIOL,110,3
CHEM,110,3
MATH,140,3
CIVCM,211N,3
PLSC,1,3
SUST,200,3
SCM,200,3
STAT,200,3
STAT,250,3
EARTH,2,3
GEOG,10,3
GEOSC,1,3
PHIL,103,3
PHIL,119,3
PHIL,132,3
STS,245,3
ECON,102,3
ECON,104,3
GEOG,30N,3
GEOG,126,3
PHYS,211,3
PHYS,212,3
PHYS,250,3
PHYS,251,3
GEOSC,494M,3
GEOSC,495,3
GEOSC,496,3
PHYS,212,3
PHYS,251,3
GEOSC,494M,3
GEOSC,495,3
GEOSC,496,3
BIOL,435,3
GEOG,363,3
GEOSC,303,3
GEOSC,452,3
GEOSC,451,3
GEOSC,454,3
CHEM,301,3
EGEE,101,3
EGEE,102,3
STS,420,3
GEOSC,412,3
GEOSC,418,3
GEOSC,494M,3
GEOSC,495,3
GEOSC,496,3
CHEM,203,3
CHEM,227,3
MICRB,201,3
MICRB,202,3
CHEM,301,3
GEOSC,412,3
GEOSC,418,3
GEOSC,419,3
GEOSC,451,3
GEOSC,452,3
STS,420,3
