course_name,course_code,course_credits
CHEM,110,3
EDSGN,100S,3
ENGL,202C,3
PHYS,211,3
PHYS,212,3
ACCTG,211,3
CMPSC,201,3
ECON,102,3
ECON,104,3
EGT,120,3
FIN,301,3
MATH,140,3
MATH,141,3
MGMT,301,3
MGMT,410,3
MGMT,475,3
MGMT,476,3
MIS,204,3
MKTG,301,3
SCM,301,3
BA,241,3
BA,242,3
BA,243,3
CMPET,117,3
CMPEN,271,3
EE,211,3
EET,101,3
EMCH,211,3
MCHT,111,3
EMCH,213,3
MCHT,213,3
ME,300,3
MET,330,3
SCM,200,3
STAT,200,3
ECON,470,3
ECON,473,3
FIN,471,3
MKTG,445,3
MGMT,461,3
