course_name,course_code,course_credits
ENGL,202C,3
CMPSC,121,3
CMPSC,122,3
MATH,140,3
MATH,141,3
MATH,220,3
MATH,230,3
MATH,251,3
MATH,311W,3
MATH,312,3
STAT,301,3
STAT,401,3
BIOL,110,3
BIOL,220W,3
CHEM,110,3
CHEM,111,3
CHEM,112,3
CHEM,113,3
PHYS,211,3
PHYS,212,3
PHYS,250,3
PHYS,251,3
CMPSC,221,3
CMPSC,360,3
MATH,310,3
MATH,412,3
MATH,449,3
MATH,455,3
MATH,456,3
MATH,482,3
STAT,414,3
STAT,461,3
STAT,462,3
STAT,464,3
STAT,466,3
MATH,421,3
MATH,426,3
MATH,427,3
MATH,429,3
MATH,435,3
MATH,436,3
MATH,465,3
ACCTG,211,3
ECON,102,3
ECON,104,3
MIS,204,3
CMPSC,221,3
CMPSC,360,3
MIS,336,3
ECON,481,3
ECON,485,3
FIN,301,3
FIN,405,3
FIN,420,3
FIN,427,3
MGMT,301,3
MGMT,331,3
MGMT,341,3
MKTG,301,3
SCM,310,3
MATH,482,3
MIS,336,3
MIS,430,3
MIS,435,3
MIS,445,3
STAT,414,3
STAT,461,3
STAT,462,3
STAT,464,3
STAT,466,3
MATH,421,3
MATH,426,3
MATH,427,3
MATH,429,3
MATH,435,3
MATH,436,3
MATH,465,3
CMPSC,455,3
CMPSC,465,3
CMPSC,221,3
SWENG,311,3
CMPSC,312,3
CMPEN,351,3
MATH,310,3
MATH,412,3
MATH,421,3
MATH,426,3
MATH,427,3
MATH,429,3
MATH,435,3
MATH,436,3
MATH,455,3
MATH,456,3
MATH,465,3
MATH,482,3
STAT,414,3
STAT,461,3
STAT,462,3
STAT,464,3
STAT,466,3
MATH,403,3
MATH,421,3
MATH,429,3
MATH,435,3
