course_name,course_code,course_credits
CHEM,110,3
CHEM,111,3
ENGL,202C,3
IET,215,3
IET,216,3
MATH,211,3
MCHT,214,3
MET,107,3
PHYS,251,3
MATH,210,3
MCHT,111,3
MCHT,213,3
MET,206,3
MET,210,3
MET,306,3
MET,320,3
MET,330,3
MET,331,3
MET,341,3
MET,415,3
MET,425,3
MET,432,3
MET,470,3
MET,480,3
MET,485,3
PHYS,250,3
EET,100,3
EET,101,3
EET,105,3
EET,109,3
EGT,101,3
EGT,102,3
EGT,114,3
EGT,201,3
EGT,205,3
EGT,120,3
EGT,121,3
IET,101,3
MET,105,3
MATH,22,3
MATH,82,3
MATH,26,3
MATH,81,3
MATH,83,3
MATH,140,3
