course_name,course_code,course_credits
CHEM,111,3
CHEM,112,3
CHEM,113,3
CMPSC,121,3
ENGL,202C,3
MATH,220,3
MATH,230,3
MATH,251,3
CHEM,110,3
MATH,140,3
MATH,141,3
PHYS,211,3
PHYS,212,3
PHYS,213,3
PHYS,214,3
PHYS,237,3
PHYS,400,3
PHYS,419,3
PHYS,420,3
PHYS,421,3
PHYS,458,3
PHYS,494,3
CMPSC,122,3
MATH,455,3
PHYS,402,3
CMPSC,459,3
CMPSC,465,3
CMPSC,474,3
EE,352,3
EE,453,3
MATH,456,3
ME,410,3
ME,428,3
PHYS,410,3
PHYS,414,3
PHYS,446,3
PHYS,494,3
PHYS,495,3
PHYS,410,3
MATH,421,3
MATH,455,3
MATH,456,3
PHYS,402,3
PHYS,414,3
PHYS,446,3
PHYS,494,3
PHYS,495,3
CMPSC,122,3
CMPSC,459,3
CMPSC,465,3
CMPSC,474,3
