course_name,course_code,course_credits
EGT,120,3
EGT,121,3
MATH,211,3
CHEM,110,3
CHEM,111,3
ENGL,202C,3
MCHT,111,3
MCHT,213,3
MET,418,3
MGMT,409,3
PHYS,250,3
PLET,50,3
PLET,205,3
PLET,206,3
PLET,222,3
PLET,227,3
PLET,232,3
PLET,235,3
PLET,304,3
PLET,323,3
PLET,330,3
PLET,345,3
PLET,350,3
PLET,366,3
PLET,425,3
PLET,477,3
PLET,481,3
PLET,494A,3
MATH,22,3
MATH,82,3
MATH,26,3
MATH,81,3
MATH,83,3
MATH,140,3
MATH,210,3
MATH,140,3
MATH,141,3
