course_name,course_code,course_credits
ACCTG,211,3
ECON,102,3
ECON,104,3
ENGL,202D,3
FIN,301,3
MGMT,301,3
MGMT,341,3
MGMT,418,3
MIS,204,3
MKTG,301,3
SCM,301,3
SCM,445,3
SCM,460,3
BA,241,3
BA,242,3
BA,243,3
MATH,110,3
MATH,140,3
SCM,200,3
STAT,200,3
MGMT,410,3
BA,421,3
MGMT,415,3
SCM,416,3
SCM,320,3
SCM,455,3
BA,364,3
ECON,470,3
FIN,471,3
IB,303,3
MGMT,461,3
MKTG,445,3
BA,321,3
BA,322,3
MGMT,420,3
MGMT,431,3
MGMT,432,3
MGMT,433,3
MGMT,440,3
MGMT,453,3
MGMT,466,3
MGMT,483,3
ECON,481,3
MIS,336,3
MIS,301,3
BA,422W,3
BA,462,3
MGMT,471W,3
