course_name,course_code,course_credits
PSYCH,100,3
PSYCH,301,3
PSYCH,406,3
PSYCH,489,3
PSYCH,200,3
STAT,200,3
PSYCH,253,3
PSYCH,260,3
PSYCH,261,3
PSYCH,269,3
PSYCH,425,3
PSYCH,439,3
PSYCH,441,3
PSYCH,450,3
PSYCH,460,3
PSYCH,461,3
PSYCH,462,3
PSYCH,464,3
PSYCH,475,3
PSYCH,478,3
PSYCH,212,3
PSYCH,221,3
PSYCH,412,3
PSYCH,413,3
PSYCH,414,3
PSYCH,415,3
PSYCH,416,3
PSYCH,420,3
PSYCH,421,3
PSYCH,423,3
PSYCH,424,3
PSYCH,253,3
PSYCH,256,3
PSYCH,261,3
PSYCH,268,3
PSYCH,413,3
PSYCH,426,3
PSYCH,427,3
PSYCH,439,3
PSYCH,452,3
PSYCH,456,3
PSYCH,461,3
EDPSY,14,3
HDFS,311,3
HDFS,315,3
PSYCH,238,3
PSYCH,243,3
PSYCH,244,3
PSYCH,270,3
PSYCH,281,3
PSYCH,370,3
PSYCH,404,3
PSYCH,405,3
PSYCH,408,3
PSYCH,414,3
PSYCH,419,3
PSYCH,438,3
PSYCH,443,3
PSYCH,444,3
PSYCH,445,3
PSYCH,452,3
PSYCH,456,3
PSYCH,459,3
PSYCH,470,3
PSYCH,471,3
PSYCH,473,3
PSYCH,474,3
PSYCH,476,3
PSYCH,477,3
PSYCH,481,3
PSYCH,482,3
PSYCH,484,3
PSYCH,485,3
PSYCH,230,3
PSYCH,231,3
PSYCH,232,3
PSYCH,422,3
PSYCH,432,3
PSYCH,479/WMNST,3
