course_name,course_code,course_credits
CHEM,111,3
CHEM,112,3
CHEM,113,3
CMPSC,121,3
MATH,141,3
BIOL,110,3
CHEM,110,3
MATH,140,3
PHYS,211,3
PHYS,212,3
PHYS,213,3
PHYS,214,3
PHYS,250,3
PHYS,251,3
BIOL,220W,3
BIOL,230W,3
BIOL,240W,3
CMPSC,122,3
MATH,230,3
MATH,250,3
STAT,200,3
BIOL,402W,3
GEOG,160,3
GEOG,161,3
CHEM,202,3
CHEM,227,3
STAT,200,3
STAT,250,3
BIOL,220W,3
BIOL,230W,3
BIOL,240W,3
MICRB,201,3
ASTRO,10,3
ASTRO,11,3
GEOSC,2,3
GEOSC,20,3
GEOSC,40,3
METEO,3,3
ASTRO,291,3
ASTRO,292,3
GEOG,10,3
GEOSC,10,3
ASTRO,10,3
ASTRO,11,3
BIOL,230W,3
GEOSC,2,3
GEOSC,20,3
GEOSC,40,3
METEO,3,3
BIOL,220W,3
BIOL,240W,3
CMPSC,122,3
MATH,230,3
MATH,250,3
STAT,200,3
