course_name,course_code,course_credits
CI,280,3
CI,295,3
CI,495C,3
CI,495E,3
EDPSY,14,3
PSYCH,100,3
SPLED,400,3
SPLED,403B,3
PSYCH,412,3
HDFS,239,3
EDTHP,115,3
EDTHP,115A,3
BIOL,110,3
BIOL,220W,3
BIOL,240W,3
CHEM,110,3
CHEM,111,3
CHEM,112,3
CHEM,113,3
MATH,140,3
SCIED,411,3
SCIED,412,3
BMB,251,3
BMB,252,3
BIOL,230W,3
MATH,141,3
ANTH,21,3
ANTH,460,3
BIOL,427,3
GEOSC,204,3
GEOSC,424,3
PHYS,211,3
PHYS,212,3
PHYS,250,3
PHYS,251,3
BMB,211,3
BMB,212,3
BMB,401,3
BMB,402,3
CHEM,202,3
CHEM,203,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
BIOL,110,3
CHEM,110,3
CHEM,111,3
CHEM,112,3
CHEM,113,3
MATH,140,3
MATH,141,3
PHYS,211,3
PHYS,212,3
SCIED,411,3
SCIED,412,3
CHEM,202,3
CHEM,203,3
CHEM,210,3
CHEM,212,3
CHEM,213,3
BMB,211,3
BMB,212,3
BMB,251,3
BMB,252,3
MICRB,251,3
FDSC,400,3
ANSC,301,3
NUTR,251,3
ASTRO,10,3
ASTRO,11,3
BIOL,110,3
CHEM,110,3
CHEM,111,3
EARTH,100,3
MATH,140,3
MATH,141,3
SCIED,411,3
SCIED,412,3
GEOSC,1,3
GEOSC,20,3
GEOSC,21,3
GEOSC,204,3
PHYS,250,3
PHYS,251,3
PHYS,211,3
PHYS,212,3
METEO,3,3
METEO,201,3
METEO,300,3
BIOL,435,3
BIOL,482,3
GEOSC,40,3
GEOSC,440,3
BIOL,427,3
ENGL,444,3
LLED,411,3
LLED,412,3
LLED,420,3
ENGL,221,3
ENGL,221W,3
ENGL,222,3
ENGL,222W,3
ENGL,231,3
ENGL,232,3
ENGL,232W,3
COMM,261,3
ENGL,201,3
ENGL,261,3
ENGL,262,3
ENGL,263,3
ENGL,265,3
ENGL,268,3
ENGL,401,3
ENGL,401W,3
AMST,493,3
CMLIT,400,3
CMLIT,401,3
CMLIT,403,3
CMLIT,404,3
CMLIT,405,3
CMLIT,406,3
CMLIT,408,3
CMLIT,422,3
CMLIT,423,3
CMLIT,453,3
CMLIT,470,3
CMLIT,480,3
CMLIT,486,3
CMLIT,487,3
CMLIT,488,3
ENGL,401,3
ENGL,402,3
ENGL,404,3
ENGL,404,3
ENGL,426,3
ENGL,431,3
ENGL,449M,3
ENGL,461,3
ENGL,462,3
ENGL,463,3
ENGL,466,3
ENGL,467,3
ENGL,468,3
ENGL,469,3
ENGL,490,3
ENGL,401,3
ENGL,402,3
ENGL,404,3
ENGL,430,3
ENGL,432,3
ENGL,433,3
ENGL,434,3
ENGL,435,3
ENGL,436,3
ENGL,437,3
ENGL,438,3
ENGL,439,3
ENGL,492,3
ENGL,401,3
ENGL,402,3
ENGL,404,3
ENGL,440,3
ENGL,441,3
ENGL,442,3
ENGL,443,3
ENGL,445,3
ENGL,446,3
ENGL,447,3
ENGL,448,3
ENGL,450,3
ENGL,452,3
ENGL,453,3
ENGL,454,3
ENGL,455,3
ENGL,456,3
ENGL,457,3
ENGL,458,3
ENGL,489,3
ENGL,100,3
ENGL,407,3
ENGL,417,3
LING,100,3
CAS,214,3
COMM,260W,3
COMM,460,3
COMM,461,3
COMM,462,3
COMM,467,3
ENGL,212,3
ENGL,213,3
ENGL,215,3
ENGL,281,3
ENGL,412,3
ENGL,413,3
ENGL,414,3
ENGL,416,3
ENGL,418,3
ENGL,419,3
ENGL,420,3
ENGL,421,3
THEA,440,3
CAS,215,3
CAS,415,3
CAS,475,3
COMM,467,3
ENGL,409,3
ENGL,411M,3
ENGL,470,3
ENGL,471,3
ENGL,472,3
ENGL,473,3
ENGL,474,3
ENGL,487,3
LLED,480,3
COMM,100,3
COMM,118,3
COMM,150N,3
COMM,205,3
COMM,411,3
COMM,413W,3
CAS,213,3
CAS,215,3
CAS,250,3
CAS,271N,3
CAS,280W,3
CAS,375,3
CAS,422,3
THEA,102,3
ART,100,3
ARTH,111,3
ARTH,112,3
ARTH,120,3
ARTH,130,3
CAS,175,3
CAS,283,3
CAS,415,3
CAS,483,3
CMLIT,453,3
COMM,100,3
COMM,118,3
COMM,120,3
COMM,150N,3
COMM,180,3
COMM,205,3
COMM,242,3
COMM,250,3
COMM,283,3
COMM,453,3
COMM,454,3
PHOTO,100,3
WMNST,205,3
THEA,102,3
THEA,103,3
THEA,104,3
THEA,112,3
THEA,120,3
THEA,130,3
THEA,131,3
THEA,189,3
THEA,210,3
THEA,428,3
COMM,260W,3
COMM,261,3
COMM,269,3
COMM,409,3
COMM,460,3
COMM,461,3
COMM,462,3
COMM,467,3
COMM,497,3
CAS,203,3
CAS,213,3
CAS,215,3
CAS,250,3
CAS,280W,3
CAS,301,3
CAS,303,3
CAS,311,3
CAS,375,3
CAS,383,3
CAS,411,3
CAS,422,3
CAS,455,3
CAS,470,3
CAS,471,3
CAS,475,3
EDTEC,400,3
EDTEC,448,3
ENGL,210,3
ENGL,212,3
ENGL,213,3
ENGL,215,3
ENGL,281,3
ENGL,412,3
ENGL,413,3
ENGL,422,3
ENGL,423,3
ENGL,425,3
LDT,400,3
LDT,440,3
LDT,467,3
APLNG,482,3
APLNG,491,3
APLNG,493,3
CAS,271N,3
CAS,471,3
LLED,445,3
WLED,411,3
WLED,412,3
BIOL,110,3
BIOL,220W,3
CHEM,101,3
MATH,140,3
SCIED,411,3
SCIED,412,3
SCIED,457,3
CHEM,20,3
CHEM,21,3
CHEM,110,3
CHEM,111,3
BIOL,240W,3
WFS,407,3
WFS,408,3
AEE,201,3
ECON,428,3
ERM,411,3
ERM,412,3
ERM,413,3
WFS,410,3
WFS,447,3
WFS,463,3
STS,47,3
STS,135,3
STS,420,3
STS,460,3
BIOL,110,3
CHEM,110,3
CHEM,111,3
CHEM,112,3
CHEM,113,3
MATH,140,3
